Boiler Model,Burner Model,Number of identical boilers,Boiler capacity (Gross BTU),Boiler Installation Date,Age range of boiler,Is boiler dual fuel capable?,Primary Fuel,Total Estimated Cosumption - Low Estimate (Gallons) ,Needs to comply with Greener Greater Buildings Laws?,Deadline for complying with Audit and Retrocommissioning Law,Building Type,Total area of buildings on lot,Number of floors,Number of total units,Year constructed
EASTMOND ESP-80,INDUSTRIAL COMBUSTION MMG-34P,1,3.43,1999,11—15,DUAL FUEL,#4,18778,No,0,Elevator Apartments,21000,5,33,1931
EASTMOND PLW - 53 (NEW),ICI MMG - 22 (NEW),1,1.7,2007,5--,DUAL FUEL,#4,11728,No,0,Elevator Apartments,22215,5,30,1930
EASTMOND-ESP-200,ICI-DEG-84P,1,0,2001,5—10,DUAL FUEL,#6,41958,Yes,2014,Elevator Apartments,92550,16,63,1917
EASTMOND-ESP-350  (NEW),INDUSTRIAL COMBUSTION-DEG-175S,3,14.7,2003,5—10,DUAL FUEL,#6,230410,Yes,2014,Elevator Apartments,768530,35,205,1930
EASTMOND/FEDERAL   FST-100,HEVE (I.C.)   DEG-42 P,1,4.2,2001,5—10,DUAL FUEL,#6,33458,Yes,2017,Elevator Apartments,58600,6,66,1964
EASTMOND/FEDERAL   FST-125,HEVE  (IC)  MM  54P,1,5.25,2000,5—10,DUAL FUEL,#4,36792,Yes,2019,Elevator Apartments,67254,6,51,1920
EASTMOND/FEDERAL   FST-125,HEVE  (ICI)   MM 54P,1,5.4,2000,5—10,DUAL FUEL,#4,34492,No,0,Walk-Up Apartments,39745,5,57,1926
EASTMOND/FEDERAL   FST-200 ,HEVE (ICI)  DEG 84 P,1,8.4,2000,5—10,DUAL FUEL,#6,54038,Yes,2015,Elevator Apartments,117045,7,135,1963
EASTMOND/FEDERAL  ESP-250,INDUSTRIAL COMB.  DEG-105-P,1,8.96,1997,11—15,DUAL FUEL,#6,45990,No,0,Office Buildings,39120,4,40,1930
EASTMOND/FEDERAL  ESP-250,INDUSTRIAL COMB.  DEG-105-P,1,8.96,1997,11—15,DUAL FUEL,#6,45990,No,0,Asylums & Homes,39120,4,40,1930
EASTMOND/FEDERAL  FST-125,S.T. JOHNSON  FD68 CAHM (SIZE 100),1,5.25,1999,11—15,DUAL FUEL,#6,34492,Yes,2022,Office Buildings,70217,12,14,1915
EASTMOND/FEDERAL  FST-175,INDUSTRIAL COMB.  DEG-84 (P),1,5.81,1994,16—20,DUAL FUEL,#4,14493,Yes,2018,Elevator Apartments,85094,6,85,1962
EASTMOND/FEDERAL  FST-200 ,HEVE (ICI)  DEG-84 P,1,8.4,2000,5—10,DUAL FUEL,#6,57487,Yes,2018,Elevator Apartments,207542,14,92,1925
EASTMOND/FEDERAL  FST-250,HEVE (ICI)  DEG 105 P,1,10.5,2000,5—10,DUAL FUEL,#6,74734,Yes,2022,Elevator Apartments,213729,21,75,1929
EASTMOND/FEDERAL  FST-500,S.T. JOHNSON  FD 68 CAHM (SIZE 500),1,21,1995,11—15,DUAL FUEL,#6,97729,Yes,2020,Condominiums,617105,34,681,1965
EASTMOND/FEDERAL  FST-80,INDUSTRIAL COMB.MMG-34P,1,3.08,1998,11—15,DUAL FUEL,#4,17246,No,0,Condominiums,42265,6,90,1910
EASTMOND/FEDERAL  FST-90,HEVE (ICI)  DEG-42,1,3.78,2002,5—10,DUAL FUEL,#6,29319,Yes,2017,Walk-Up Apartments,59175,9,41,1914
EASTMOND/FEDERAL FST-100,INDUSTRIAL COMBUSTION DEG-42-P,2,4.2,1996,11—15,DUAL FUEL,#6,22995,Yes,2020,Elevator Apartments,117150,15,61,1929
EASTMOND/FEDERAL FST-350,IROM FIREMAN AGO-6-15-RK,1,14,1996,11—15,DUAL FUEL,#6,57487,Yes,2016,Walk-Up Apartments,289066,15,258,1926
EASTMOND/FEDERAL FST-500,HEVE (IC)  DEG-210 P,1,21,2002,5—10,DUAL FUEL,#6,139580,Yes,2017,Churches,337570,21,322,1963
