Boiler Model,Burner Model,Number of identical boilers,Boiler capacity (Gross BTU),Boiler Installation Date,Age range of boiler,Is boiler dual fuel capable?,Primary Fuel,Total Estimated Cosumption - Low Estimate (Gallons) ,Needs to comply with Greener Greater Buildings Laws?,Deadline for complying with Audit and Retrocommissioning Law,Building Type,Total area of buildings on lot,Number of floors,Number of total units,Year constructed
(2) FEDERAL FST-150,(2) I.C. DEG-63P,2,5.81,1998,11—15,DUAL FUEL,#6,31810,Yes,2017,Elevator Apartments,127395,15,46,1926
(EX)FEDERAL  PLW 265,(NEW) POWERFLAME  C6-GO-30,2,10.9,1998,11—15,DUAL FUEL,#6,86140,No,0,Elevator Apartments,208560,10,239,1973
(EXIST)  FEDERAL FST-150,I.C. DEG-63 P,1,6.3,1997,11—15,DUAL FUEL,#6,31810,Yes,2017,Elevator Apartments,58260,6,68,1925
(EXIST) FEDERAL  FST-300,(NEW) S.T. JOHNSON  FD68 CAHM (SIZE 300),1,12.6,1999,11—15,DUAL FUEL,#6,91980,Yes,2020,Elevator Apartments,166596,14,61,1915
(EXIST)FEDERAL/EASTMOND  FST-250,(NEW)HEVE/ICI DEG-105 P,2,10.36,1999,11—15,DUAL FUEL,#6,68985,Yes,2016,Walk-Up Apartments,260000,19,210,1963
(EXISTING)  FEDERAL  FST-125,(NEW) ICI  DEG-54P,1,4.1,2005,5—10,DUAL FUEL,#6,26368,Yes,2017,Elevator Apartments,65692,5,74,1926
(EXISTING)  FEDERAL  FST-250,(NEW)  ICI   DEG-105P,1,8.3,2003,5—10,DUAL FUEL,#6,45550,Yes,2021,Elevator Apartments,176799,14,55,1925
(EXISTING)  FEDERAL  FST-80,(NEW) CARLING  1150  FFD,1,2.67,2003,5—10,DUAL FUEL,#4,18396,Yes,2014,Elevator Apartments,54000,6,49,1931
(EXISTING)  PACIFIC 60L2,INDUSTRIAL COMBUSTION    DEG-105,1,11,2007,5--,DUAL FUEL,#6,5017,Yes,2018,Elevator Apartments,141880,6,143,1957
(EXISTING)  ROCKMILLS   MP 175,(NEW)  ICI  DEG  84 (NEW),1,5.8,2003,5—10,DUAL FUEL,#4,35259,Yes,2018,Asylums & Homes,107701,11,67,1912
(EXISTING) FEDERAL   FST-125,(NEW) INDUSTRIAL COMBUSTION DEG-54,1,4.1,2006,5--,DUAL FUEL,#6,40242,Yes,2014,Condominiums,61770,6,60,1937
(EXISTING) FEDERAL   FST-250 SP  ,(NEW) S.T.JOHNSON   FD68CA250HM,1,8.3,2005,5—10,DUAL FUEL,#6,56700,Yes,2015,Elevator Apartments,159582,21,12,1963
(EXISTING) FEDERAL   FST-70 ,(NEW) ICI  MMG   28,1,2.34,2003,5—10,DUAL FUEL,#4,16097,No,0,Elevator Apartments,35814,6,41,1924
(EXISTING) FEDERAL  FLW 1822,(NEW) INDUSTRIAL COMBUSTION  DEG-84S,2,6.6,2003,5—10,DUAL FUEL,#4,38325,Yes,2015,Elevator Apartments,94404,12,95,1962
(EXISTING) FEDERAL  FMRA  1215,(NEW) INDUSTRIAL COMBUSTION  DEG-42P,1,4.4,2007,5--,DUAL FUEL,#4,22306,Yes,2022,Walk-Up Apartments,50855,5,66,1929
(EXISTING) FEDERAL  FST  200,(NEW) INDUSTRIAL COMBUSTION DEG 84,2,6.6,2008,5--,DUAL FUEL,#6,8256,Yes,2014,Walk-Up Apartments,147000,6,217,1954
(EXISTING) FEDERAL  FST 60,(NEW) INDUSTRIAL COMBUSTION  MMG-28,1,2,2008,5--,DUAL FUEL,#4,19857,No,0,Miscellaneous,22570,5,24,1920
(EXISTING) FEDERAL  FST-125,(NEW)  ICI  DEG-54P,2,4.1,2003,5—10,DUAL FUEL,#6,52735,Yes,2017,Elevator Apartments,126660,13,146,1989
(EXISTING) FEDERAL  FST-125,ICI MMG-54P (NEW),1,4.1,2005,5—10,DUAL FUEL,#4,287457,Yes,2020,Condominiums,63720,6,65,1928
(EXISTING) FEDERAL  FST-300,(NEW) ICI  DEG-145P,1,10.04,2003,5—10,DUAL FUEL,#6,65306,Yes,2019,Elevator Apartments,218536,15,217,1954
(EXISTING) FEDERAL-FST-100,(NEW) ICI-DEG-42P,1,4.2,2002,5—10,DUAL FUEL,#6,20772,Yes,2013,Walk-Up Apartments,64058,15,30,1926
(EXISTING) FITZGIBBONS #29,(NEW) INDUSTRIAL COMBUSTION-DEG-63S,1,5.6,2005,5—10,DUAL FUEL,#6,436,Yes,2021,Condominiums,176799,14,55,1925
(EXISTING) GABRALTER   GCB225,(NEW) INDUSTRIAL COMBUSTION   MEG-84S,1,7.75,2003,5—10,DUAL FUEL,#6,34339,Yes,2022,Elevator Apartments,97893,14,96,1962
(EXISTING) PACIFIC  52L2,(NEW)  INDUSTRIAL COMBUSTION  MEG 42,1,5.5,2008,5--,DUAL FUEL,#6,30168,Yes,2015,Elevator Apartments,61000,6,66,1959
(EXISTING) PACIFIC 5282, IC   DEG-42(P) ,1,5.5,2005,5—10,DUAL FUEL,#4,22306,Yes,2020,Office Buildings,58510,6,60,1928
(EXISTING) ROCKMILLS    MP 250,(NEW) INDUSTRIAL COMBUSTION  DEG 105,1,8.36,2003,5—10,DUAL FUEL,#6,79409,Yes,2019,Walk-Up Apartments,150033,13,96,1917
(EXISTING) ROCKMILLS   MP-125,(NEW) INDUSTRIAL COMBUSTION  MMG-54P,1,4.1,2005,5—10,DUAL FUEL,#4,14175,Yes,2019,Elevator Apartments,98800,10,52,1901
(EXISTING) ROCKMILLS  MP 100,INDUSTRIAL COMBUSTION  MEG  42,1,3.3,2008,5--,DUAL FUEL,#4,31137,Yes,2022,Hotels,57629,6,50,1929
(EXISTING) ROCKMILLS  MP 250,(NEW) ICI,1,0,2003,5—10,DUAL FUEL,#6,52275,Yes,2017,Walk-Up Apartments,132877,17,93,1926
(EXISTING) ROCKMILLS  MP-100,(NEW) ICI  DEG-42P,1,3.3,2005,5—10,DUAL FUEL,#6,20772,No,0,Churches,28416,6,31,1905
(EXISTING) ROCKMILLS  MP-100,(NEW) INDUSTRIAL COMBUSTION  MMG-42P,1,3.3,2005,5—10,DUAL FUEL,#4,22228,No,0,Walk-Up Apartments,39313,6,36,1909
(EXISTING) ROCKMILLS  MP-100,(REPLACEMENT) IC  MMG-42P,1,3.3,2005,5—10,DUAL FUEL,#4,22228,No,0,Elevator Apartments,20934,6,42,1900
(EXISTING) ROCKMILLS  MP-125,(NEW)  ICI   MMG-57P,1,4.1,2005,5—10,DUAL FUEL,#4,19688,Yes,2015,Elevator Apartments,85869,12,16,1911
(EXISTING) ROCKMILLS  MP-150,(REPLACEMENT) ICI  DEG-63P,1,5,2006,5--,DUAL FUEL,#6,31809,Yes,2017,Elevator Apartments,72700,6,96,1931
(EXISTING) ROCKMILLS  MP-250 #2 ONLY,(NEW)  INDUSTRIAL COMBUSTION  DEG-105,1,8.3,2008,5--,DUAL FUEL,#4,39705,Yes,2016,Educational Structures,130533,12,48,1914
(EXISTING) ROCKMILLS  MP-350, ICI  DEG-145P (NEW),1,11.7,2007,5--,DUAL FUEL,#6,71792,Yes,2020,Elevator Apartments,232458,18,20,1926
(EXISTING) ROCKMILLS  MP-4-186,(NEW) INDUSTRIAL COMBUSTION  DEG-84P,1,6.22,2003,5—10,DUAL FUEL,#6,42541,Yes,2018,Office Buildings,95977,20,86,1961
(EXISTING) ROCKMILLS  MP-70,(NEW) INDUSTRIAL COMBUSTION  MMG-28P,1,2.3,2008,5--,DUAL FUEL,#4,22419,No,0,Office Buildings,41963,6,48,1932
(EXISTING) ROCKMILLS  MP-80,(NEW) INDUSTRIAL COMBUSTION  MMG-34P,1,2.67,2005,5—10,DUAL FUEL,#4,18780,Yes,2022,Condominiums,51744,9,37,1924
(EXISTING) ROCKMILLS  MP-90,(REPLACEMENT) ICI  DEG-42P,1,3.01,2005,5—10,DUAL FUEL,#6,19546,Yes,2019,Elevator Apartments,60000,5,51,1922
(EXISTING) ROCKMILLS  MP75,(NEW) INDUSTRIAL COMBUSTION  DEG 84,1,5.8,2008,5--,DUAL FUEL,#6,54303,Yes,2016,Elevator Apartments,95684,6,108,1951
(EXISTING) ROCKMILLS MP 80,I.C.I  MMG 34 (NEW),1,2.67,2003,5—10,DUAL FUEL,#4,18780,No,0,Hotels,42254,5,48,1940
(EXISTING) ROCKMILLS MP-80,(NEW) ICI MMG-34,1,2.6,2006,5--,DUAL FUEL,#4,18778,No,0,Office Buildings,31250,6,36,1922
(EXISTING) ROCKMILLS-MP 250,(NEW) IC-DEG 105P,1,8.37,2003,5—10,DUAL FUEL,#6,79409,Yes,2017,Elevator Apartments,122273,12,43,1907
(EXISTING) ROCKMILLS-MP90,INDUSTRIAL COMB.-DEG 42 P,1,3.78,2001,5—10,DUAL FUEL,#6,29153,No,0,Elevator Apartments,41757,5,43,1917
(EXISTING) TITUSVILLE   MODEL# UNKNOWN,(NEW) IC  MMG-42P,1,6,2003,5—10,DUAL FUEL,#4,16275,Yes,2017,Asylums & Homes,87802,12,52,1913
(EXISTING) WEIL MCLAIN  1194,(NEW) INDUSTRIAL COMBUSTION  MMG-28,1,2.9,2005,5—10,DUAL FUEL,#4,16097,No,0,Elevator Apartments,35310,6,49,1920
(EXISTING) YORK SHIPLEY  WBL-400,(NEW) WEBSTER HDRV5C-50,1,13.3,2003,5—10,DUAL FUEL,#4,90907,Yes,2019,Elevator Apartments,236300,16,2,1940
(EXISTING)FEDERAL  FST-150,(NEW)HEVE/ICI DEG 63 P,1,6.3,1997,11—15,DUAL FUEL,#6,45990,Yes,2016,Walk-Up Apartments,85302,6,70,1922
(EXISTING)FEDERAL FST-90,(NEW) INDUSTRIAL COMBUSTION  DEG-42P,1,3.01,2003,5—10,DUAL FUEL,#6,19546,No,0,Elevator Apartments,49422,6,46,1909
(EXISTING)FEDERAL-FLW 1822,ICI  MMG-63 P,1,6.65,2001,5—10,DUAL FUEL,#4,32010,Yes,2022,Elevator Apartments,72715,6,65,1962
(EXISTING)FEDERAL-FST-150,(NEW)INDUST.COMB.-DEG-63P,1,0,2001,5—10,DUAL FUEL,#4,34339,Yes,2013,Elevator Apartments,67882,11,47,1928
(EXISTING)FEDERAL/EASTMOND  FST-150, EXISTING HEVE (I.C.)DEG-84 P,1,6.3,1996,11—15,DUAL FUEL,#4,45990,Yes,2013,Elevator Apartments,112854,6,120,1928
(EXISTING)ROCKMILLS  MP-100,IND.COMB.  MMG-42 (P),1,4.2,1995,11—15,DUAL FUEL,#4,35770,Yes,2016,Walk-Up Apartments,52220,6,61,1920
(EXISTING)ROCKMILLS  R 72,HEVE (ICI) AMDH  SIZE 4,1,2.3,1994,16—20,Not Dual,#4,16100,No,0,Elevator Apartments,30000,4,35,1927
(EXISTING)ROCKMILLS - MP 125,(NEW)ICI-MMG-54P,1,4.18,2001,5—10,DUAL FUEL,#4,28743,No,0,Elevator Apartments,40982,13,53,1916
(EXISTING)ROCKMILLS-MP 125,(NEW)  ICI MMG 54,1,5.25,2001,5—10,DUAL FUEL,#4,28743,Yes,2016,Walk-Up Apartments,61902,6,48,1915
(EXISTING)TITUSVILLE (UNKNOWN),HEVE (I.C.) DEG-63 (P),1,6.3,1995,11—15,DUAL FUEL,#6,45990,Yes,2015,Elevator Apartments,71126,12,86,1913
(NEW)  FEDERAL/EASTMOND-FST-200,(NEW) ST.JOHNSON-FD68 CAHM 200,1,8.4,2000,5—10,DUAL FUEL,#6,58637,Yes,2021,Elevator Apartments,101838,13,53,1920
(NEW) BEST 5C-125,(NEW) HEVE ICI MEG 54 P,1,5.3,1999,11—15,DUAL FUEL,#6,28192,Yes,2021,Condominiums,72659,12,77,1924
(NEW) BEST 5C-150,(EXTG) HEVE (I.C.) DEG-63S,1,5.02,2002,5—10,DUAL FUEL,#6,45990,Yes,2013,Office Buildings,148031,12,139,1962
(NEW) BEST 5C-200,(NEW) ICI  DEG-84P,1,6.6,2005,5—10,DUAL FUEL,#6,42541,Yes,2019,Elevator Apartments,111672,6,112,1943
(NEW) BEST 5C-200,(NEW)  ICI DEG- 84 P,1,8.4,2002,5—10,DUAL FUEL,#6,57487,Yes,2019,Elevator Apartments,141160,12,63,1929
(NEW) BEST 5D-150,(NEW) HEVE (I.C.) DEG-63P,2,6.3,2002,5—10,DUAL FUEL,#6,45990,Yes,2013,Elevator Apartments,130500,14,108,1967
(NEW) EASTMOND ESP-350,S.T.  JOHNSON  FD68 CAHM 300,2,14.7,2002,5—10,DUAL FUEL,#6,91980,Yes,2013,Elevator Apartments,86182,13,71,1930
(NEW) EASTMOND/FEDERAL   FST 150,(NEW) S.T. JOHNSON  FD68-CAHM (SIZE 150),1,6.3,2000,5—10,DUAL FUEL,#6,43690,Yes,2021,Elevator Apartments,102805,12,17,1912
(NEW) FEDERAL  FST 125,(EXISTING) ICI  MMG54,1,4.1,2006,5--,DUAL FUEL,#4,40242,Yes,2013,Elevator Apartments,51565,6,79,1963
(NEW) FEDERAL  FST 300,(NEW) HEVE  ICI  DEG-145 P,2,14.5,2000,5—10,DUAL FUEL,#4,183453,Yes,2015,Walk-Up Apartments,249148,10,1,1926
(NEW) FEDERAL  FST-150,(NEW) ICI  DEG-63P (NEW),1,5.02,2003,5—10,DUAL FUEL,#6,31810,Yes,2016,Walk-Up Apartments,79450,6,100,1931
(NEW) FEDERAL  FST-250,(NEW) ST.JOHNSON  FD-68 CA 250 HM,2,8.37,2002,5—10,DUAL FUEL,#6,57487,Yes,2019,Walk-Up Apartments,255000,15,196,1963
(NEW) FEDERAL  PLW-113 (NEW),(NEW) ICI   DEG-54S (NEW),2,3.7,2006,5--,DUAL FUEL,#6,44610,Yes,2016,Elevator Apartments,151184,16,123,1962
(NEW) ROCKMILLS  MP 125,(NEW) INDUSTRIAL COMB.  DEG 54 P,1,5.25,2002,5—10,DUAL FUEL,#6,34492,Yes,2019,Elevator Apartments,82000,6,69,1958
(NEW) ROCKMILLS  MP-175,(NEW) INDUSTRIAL COMBUSTION  DEG-84P,2,5.8,2005,5—10,DUAL FUEL,#6,57487,No,0,Warehouses,168123,21,179,1959
(NEW) ROCKMILLS MP-250  ,(NEW) HEVE (I.C.) DEG-105P,2,10.5,2002,5—10,DUAL FUEL,#6,68985,Yes,2022,Walk-Up Apartments,257760,16,287,1963
(NEW)BEST  5C-125,HEVE/IC  MMG-54 P,1,5.25,1998,11—15,DUAL FUEL,#6,17010,Yes,2014,Elevator Apartments,111274,23,42,1928
(NEW)BEST 5C-200,(NEW)HEVE/ICI  DEG-84 P,2,7.77,1999,11—15,DUAL FUEL,#6,57487,No,0,Elevator Apartments,183177,19,261,1931
(NEW)EASTMOND ESP-70,(NEW) INDUSTRIAL COMB.MEG-34 P,2,2.84,1999,11—15,DUAL FUEL,#6,45990,Yes,2020,Elevator Apartments,117340,17,111,1958
(NEW)FEDERAL EASTMOND FST-90 L.P.,INDUSTRIAL COMB.  MEG-42 (P),1,3.43,1995,11—15,DUAL FUEL,#6,22995,No,0,Elevator Apartments,47731,8,44,1920
(NEW)FEDERAL FST-175,(NEW)ICI DEG-84 P,1,7.4,1997,11—15,DUAL FUEL,#4,56338,Yes,2020,Elevator Apartments,58813,13,80,1956
(NEW)FEDERAL FST-90,(EXIST)INDUSTRIAL COMB.  DEG-42 (P),1,3.79,1998,11—15,DUAL FUEL,#6,24272,No,0,Elevator Apartments,31200,6,35,1928
(NEW)FEDERAL/EASTMOND FST-125,(NEW)HEVE-ICI  DEG 54P,2,5.25,1999,11—15,DUAL FUEL,#6,34492,Yes,2022,Walk-Up Apartments,213921,13,183,1961
(REPLACEMENT) FEDERAL  FST-125,(REPLACEMENT) INDUST.COMBUST. DEG-54P,1,4.1,2005,5—10,DUAL FUEL,#6,26368,Yes,2020,Elevator Apartments,69800,6,63,1960
(REPLACEMENT) FEDERAL FST-70,INDUSTRIAL COMBUSTION   MMG-28,1,2.3,2005,5—10,DUAL FUEL,#4,15177,No,0,Walk-Up Apartments,25832,4,32,1929
(REPLACING) FEDERAL  FST-250,(S.T. JOHNSON  FD68 CA-HM  SIZE 250,1,8.3,2005,5—10,DUAL FUEL,#6,57487,Yes,2018,Elevator Apartments,435677,24,375,1921
`FEDERAL  FST-300,INDUSTRIAL COMB. DEG-145 (P),2,12.63,1995,11—15,DUAL FUEL,#4,62799,Yes,2015,Educational Structures,281825,18,210,1957
`ITUSVILLE SOH 182,ICI DEG 63-S,1,6.4,1981,26—30,Not Dual,#4,44968,Yes,2016,Elevator Apartments,140348,1,2,1931
`OCKMILLS # MP 70,ICI # MMG 24,1,2.77,1990,16—20,Not Dual,#4,21000,No,0,Elevator Apartments,41650,5,39,1923
`OCKMILLS MP-100,ICI MMG42(P),1,4.2,1983,26—30,Not Dual,#4,30533,No,0,Elevator Apartments,40194,6,49,1920
`OCKMILLS MP-100,HEV-E-OIL AM-6-E,1,4.2,1975,31—35,Not Dual,#4,32193,Yes,2018,Elevator Apartments,57195,5,70,1920
`OCKMILLS-MP-150,ICI-DEG-63P,1,6.3,1984,26—30,Not Dual,#6,47250,Yes,2017,Elevator Apartments,490265,28,146,1930
11CKMILLS MP 125 SL,ICI DEG 54 P,1,4.96,1987,21—26,Not Dual,#6,37100,Yes,2017,Walk-Up Apartments,71166,6,70,1920
A. L. EASTMOND (FEDERAL FST - 100 (NEW),ICI DEG - 42-P (NEW),1,3.3,2008,5--,DUAL FUEL,#6,24144,No,0,Elevator Apartments,43326,6,48,1927
AL FMB 1215,HEV-E-OIL  AM 6 CM,1,5.2,1976,31—35,Not Dual,#4,12950,No,0,Elevator Apartments,37952,2,3,1929
AMERICAN 5-8-15 ( RED FLASH ),ICI AM 4 1/2,1,2.1,1972,36—40,Not Dual,#4,16352,No,0,Elevator Apartments,13579,8,13,1910
AMERICAN RADIATOR  (UNKNOWN),PETRO WD-5-AH,1,4.2,1971,36—40,Not Dual,#6,85848,Yes,2016,Walk-Up Apartments,101221,19,115,1930
AMERICAN RADIATOR CI 2501,HEV-E-OIL AM4DH,1,2.4,1964,46—50,Not Dual,#4,17374,No,0,Elevator Apartments,19580,5,5,1915
AMERICAN RADIATOR IDEAL WATER TUBE 36-5-,HEV-E-OIL AMDH 4,1,2.5,1964,46—50,Not Dual,#4,17885,No,0,Elevator Apartments,20160,4,27,1927
AMERICAN RADIATOR S3610,HEVE OIL ALC3,1,1.3,1965,41—45,Not Dual,#4,9198,No,0,Walk-Up Apartments,16350,4,16,1923
AMERICAN STANDARD IDEAL #5-S-12,PETRO WD3,1,2.1,1963,46—50,Not Dual,#4,7665,No,0,Walk-Up Apartments,26753,12,9,1912
AMERICAN STD A 711-0,HEV-E-OIL AM 4DH,1,2.1,1972,36—40,Not Dual,#4,15330,No,0,Elevator Apartments,10386,6,27,1920
AMES  820,TODD  AO.8,1,5.9,1971,36—40,Not Dual,#6,43333,Yes,2022,Elevator Apartments,121369,11,113,1928
AMES 12X20 HRT,KEWANEE 300 KRC10-1162-06,2,11.9,1982,26—30,Not Dual,#6,86800,Yes,2014,Elevator Apartments,135224,2,1,1947
AMES UNKNOWN,ST JOHNSON FD68A 100,2,5.2,1976,31—35,Not Dual,#6,73500,Yes,2017,Educational Structures,85215,11,2,1965
ARCO (AMERICAN RADIATOR ),HEV-E-OIL MEG 42 S,1,4.1,1988,21—26,Not Dual,#6,18396,Yes,2016,Elevator Apartments,101221,19,115,1930
BABCOCK & WILCOK FM-10-79B PACKAGE,COEN FM-10-79B-INTEGRAL,3,39.9,1970,36—40,DUAL FUEL,#6,257254,Yes,2018,Elevator Apartments,511776,6,1,1961
BABCOCK & WILCOX 4328-02,PETRO LA 544,2,8.02,1967,41—45,Not Dual,#4,23506,Yes,2015,Educational Structures,283860,15,56,1904
BABCOCK WILCOX,IRON FIREMAN RAH-0-76,2,8,1971,36—40,Not Dual,#6,35000,Yes,2016,Elevator Apartments,132961,21,119,1917
BABCOX&WILCOX-TYPE H-3 STIRLING,(NEW)ICI DEG-84P,2,11.86,2000,5—10,DUAL FUEL,#6,32077,Yes,2019,Elevator Apartments,100000,12,149,1900
BAST  50-200,INDUSTRIAL COMB.  DEG 84 P,2,8.2,1999,11—15,DUAL FUEL,#6,62776,Yes,2019,Elevator Apartments,277073,13,250,1956
BES 5B-90,INDUS COMBU MEG-42P,1,3.8,1985,21—26,Not Dual,#6,24272,No,0,Walk-Up Apartments,39764,6,57,1929
BEST    5B-100  (NEW),INDUSTRIAL COMBUSTION   MMG-42P (NEW),1,3.34,2005,5—10,DUAL FUEL,#4,22228,Yes,2014,Elevator Apartments,55049,12,26,1913
BEST    5C-125,INDUSTRIAL COMBUSTION  MEG-54S,2,4.1,2008,5--,DUAL FUEL,#6,34492,Yes,2016,Loft Buildings,236350,19,192,1962
BEST    5E-200 (NEW),INDUSTRIAL COMBUSTION  MMG-84P (NEW),1,6.6,2006,5--,DUAL FUEL,#4,45224,Yes,2017,Walk-Up Apartments,118467,7,137,1940
BEST    5E-300  (NEW),ICI   DEG-145P  (NEW),1,10,2005,5—10,DUAL FUEL,#6,65306,Yes,2014,Elevator Apartments,198375,16,133,1929
BEST   50-150,IND.COMB.   DEG 63 P,2,5.02,2000,5—10,DUAL FUEL,#4,48111,Yes,2018,Walk-Up Apartments,74683,14,60,1929
BEST   5B-10(NEW),IC  DEG-42P (NEW),1,3.3,2008,5--,DUAL FUEL,#6,28744,Yes,2013,Walk-Up Apartments,98800,13,27,1921
BEST   5B-100 (NEW),INDUSTRIAL COMBUSTION  DEG-42,1,3.3,2007,5--,DUAL FUEL,#6,31299,Yes,2018,Office Buildings,65994,6,67,1927
BEST   5B-60,INDUST.COMB.MMG-28,1,2.59,2002,5—10,DUAL FUEL,#4,19853,No,0,Condominiums,9450,4,20,1910
BEST   5B-80,IND.COMB.   MMG-34 P,1,3.43,2000,5—10,DUAL FUEL,#4,26291,No,0,Elevator Apartments,34938,6,42,1911
BEST   5B-80 (NEW),ICI MMG-34P (NEW),1,2.6,2005,5—10,DUAL FUEL,#4,18780,No,0,Walk-Up Apartments,42232,13,82,1963
BEST   5B-90 (NEW),INDUSTRIAL COMBUSTION  MMG-42P,2,3,2007,5--,DUAL FUEL,#4,40778,Yes,2015,Walk-Up Apartments,101306,20,102,1939
BEST   5C    100,I.C.I.   DEG 42,1,4.2,2001,5—10,DUAL FUEL,#6,22306,Yes,2014,Elevator Apartments,51338,9,67,1941
BEST   5C-100,INDUSTRIAL COMBUSTION  MMG-42P,1,3.3,2008,5--,DUAL FUEL,#4,22228,No,0,Elevator Apartments,44713,6,63,1940
BEST   5C-100,ICI  DEG-42P,2,3.3,2005,5—10,DUAL FUEL,#6,41544,Yes,2013,Store Buildings,107231,14,25,1929
BEST   5C-125 (NEW),INDUSTRIAL COMBUSTION  DEG-54P,1,0,2007,5--,DUAL FUEL,#6,34492,Yes,2016,Elevator Apartments,71000,6,68,1942
BEST   5C-125 (NEW),IC   DEG-54P (NEW),1,4.18,2003,5—10,DUAL FUEL,#6,34492,Yes,2016,Elevator Apartments,71000,6,70,1942
BEST   5C-150 (NEW),INDUSTRIAL COMBUSTION-DEG-63P (NEW),1,5.02,2003,5—10,DUAL FUEL,#6,23520,Yes,2018,Elevator Apartments,68590,12,13,1911
BEST   5D-175  (NEW),INDUSTRIAL COMBUSTION  DEG-84P,1,5.8,2007,5--,DUAL FUEL,#6,56338,Yes,2017,Hospitals & Health,92744,18,50,1959
BEST   5D-200 (NEW),INDUSTRIAL COMBUSTION DEG-84P (NEW),1,6.6,2007,5--,DUAL FUEL,#6,62777,Yes,2020,Walk-Up Apartments,163440,12,52,1913
BEST   5D-300,IND. COMB.  DEG-145 (P),1,12.6,2000,5—10,DUAL FUEL,#6,64151,Yes,2014,Condominiums,153064,15,60,1926
BEST   5D-300  (NEW),IC   DEG-145 P (NEW),1,10.04,2003,5—10,DUAL FUEL,#6,65306,Yes,2018,Elevator Apartments,208052,16,1,1929
BEST   5D-300 (NEW),IC  DEG-145P (NEW),1,10,2008,5--,DUAL FUEL,#6,65306,Yes,2019,Walk-Up Apartments,170928,12,138,1911
BEST   5D-350 (NEW),ICI   DEG-145P (NEW),2,11.7,2006,5--,DUAL FUEL,#6,101115,Yes,2017,Elevator Apartments,206151,13,14,1905
BEST   5E-350  (NEW),ICI  DEG-145P (NEW),2,11.7,2003,5—10,DUAL FUEL,#4,159214,Yes,2020,Elevator Apartments,296940,20,192,1963
BEST  (NEW) 5B-90,HEVE (NEW) I.C. DEG-42P,2,3.01,2002,5—10,DUAL FUEL,#6,22995,Yes,2017,Loft Buildings,99238,17,95,1956
BEST  4 A 55,ICI  MMG-28,1,2.3,1992,16—20,Not Dual,#4,12724,No,0,Walk-Up Apartments,20010,5,27,1920
BEST  4 A 65,INDUSTRIAL COMB.  MMG-28,1,2.59,1997,11—15,DUAL FUEL,#4,14181,No,0,Elevator Apartments,45743,9,83,1921
BEST  4 B 100,INDUSTRIAL COMB. MEG-42 (P),1,4.2,1994,16—20,Not Dual,#4,20370,Yes,2013,Elevator Apartments,56388,5,54,1922
BEST  4 B 100,INDUSTRIAL COMB. MMG-42 (P),1,4.2,1994,16—20,Not Dual,#4,22225,Yes,2019,Condominiums,58500,5,48,1926
BEST  4 B 100,ICI  DEG 42 P,1,4.2,2000,5—10,DUAL FUEL,#4,22305,Yes,2021,Elevator Apartments,54635,6,63,1959
BEST  4 B 100,INDUSTRIAL  COMB. MEG-42 (P),1,4.2,1994,16—20,Not Dual,#4,22305,No,0,Elevator Apartments,45426,6,52,1920
BEST  4 B 100,IND COMB.  DEG-42 (P),1,4.2,1993,16—20,Not Dual,#6,23792,No,0,Elevator Apartments,35532,7,74,1957
BEST  4 B 80,ICI  MMG 34 (P),1,3.4,1995,11—15,DUAL FUEL,#4,18779,Yes,2019,Elevator Apartments,51176,6,62,1959
BEST  4 C 125,IRON FIREMAN  A06-6.3,1,6.3,1994,16—20,Not Dual,#6,34492,Yes,2018,Elevator Apartments,81600,6,66,1931
BEST  4 C 275,ICI  DEG-145 (P),1,11.55,1993,16—20,Not Dual,#4,64394,Yes,2018,Elevator Apartments,156118,13,134,1914
BEST  4870,ICI  MMG-28,1,2.59,1994,16—20,Not Dual,#4,18907,Yes,2014,Elevator Apartments,54000,6,43,1931
BEST  4B 100,HEVE (ICI)  DEG-54 P,2,4.2,2000,5—10,DUAL FUEL,#6,28744,Yes,2016,Elevator Apartments,91500,17,129,1962
BEST  4B-100,INDUSTRIAL COM.  DEG-42 (P),1,4.2,1996,11—15,DUAL FUEL,#6,18970,Yes,2020,Factory & Industrial Buildings,58538,17,62,1914
BEST  4C 125,IRON FIREMAN  AGO-6-6.3 RK,1,4.8,1992,16—20,Not Dual,#6,26061,Yes,2014,Elevator Apartments,70000,6,61,1941
BEST  4C-125,INDUSTRIAL COMB. MEG-54 (P),1,5.1,1995,11—15,DUAL FUEL,#4,55188,Yes,2022,Elevator Apartments,55933,6,66,1922
BEST  4C-150,HEVEOIL  DEG-63 (P),1,6.3,1985,21—26,Not Dual,#6,34492,Yes,2018,Condominiums,64049,12,95,1911
BEST  4C-150,IND. COMB. MMG-63 (P),1,6.7,1985,21—26,Not Dual,#4,45786,Yes,2013,Elevator Apartments,81570,6,85,1968
BEST  5 C 100,ICI  MMG-42,1,4.2,1992,16—20,Not Dual,#4,22225,No,0,Walk-Up Apartments,13547,6,22,1920
BEST  5 C 150,I.C.I DEG 63 (P),1,6.27,1992,16—20,Not Dual,#4,30870,Yes,2014,Cultural & Public Assembly,50108,14,97,1963
BEST  5-B70,I.C.I.  MMG-30,1,2.5,1986,21—26,Not Dual,#4,16100,No,0,Elevator Apartments,47000,5,47,1928
BEST  50-150,INDUSTRIAL COMB. DEG 63 P,1,6.3,1998,11—15,DUAL FUEL,#6,48111,Yes,2013,Walk-Up Apartments,98564,6,113,1963
